-- No Theme --,-- Nici o tema --,module,Magento_Config
-- Please Select --,-- Selectati --,module,Magento_Backend
-- Please Select --,-- Selectati --,module,Magento_Catalog
-- Please select --,-- Selectati --,module,Magento_Catalog
-- Please Select --,-- Selectati --,module,Magento_Cms
-- Please Select --,-- Selectati --,module,Magento_Customer
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Avestisment!</strong> La folosirea codurilor de magazin în URL-uri, în unele cazuri sistemul poate sa nu functioneze bine daca URL-urile fara cod de magazin sunt specificate în servicii de terta parte (e.g. PayPal etc.).",module,Magento_Backend
<strong>%1 item</strong> were found using the following search criteria,<strong>%1 item</strong> au fost gasite folosind criterii de cautare,module,Magento_CatalogSearch
<strong>%1 items</strong> were found using the following search criteria,<strong>%1 items</strong> au fost gasite folosind urmatoarele criterii de cautare,module,Magento_CatalogSearch
<strong>Attention</strong>: Captcha is case sensitive.,<strong>Atentie</strong>: Captcha este sensibil la majuscule.,module,Magento_Captcha
0,0,module,Magento_Braintree
0,0,module,Magento_Config
1,1,module,Magento_Paypal
1 column,1 coloana,module,Magento_Theme
1 Day Freight,Transport 1 zi,module,Magento_Fedex
1 Hour,1 ora,module,Magento_AdminNotification
1 item,1 articol,module,Magento_Catalog
1 item,1 articol,module,Magento_Wishlist
1%,1%,module,Magento_Email
1%,1%,module,Magento_Sales
1%,1%,module,Magento_Variable
1%,1%,module,Magento_Widget
12 Hours,12 ore,module,Magento_AdminNotification
123,123,module,Magento_Catalog
12h AM/PM,12h AM/PM,module,Magento_Catalog
2 columns with left bar,2 coloane în bara din stanga,module,Magento_Theme
2 columns with right bar,2 coloane în bara din dreapta,module,Magento_Theme
2 Day,2 zile,module,Magento_Fedex
2 Day AM,2 zile AM,module,Magento_Fedex
2 Day Freight,Transport 2 zile,module,Magento_Fedex
2 Hours,2 ore,module,Magento_AdminNotification
2-pixel perimeter around the header space.,Perimetru de 2-pixeli în jurul spatiului de antet.,module,Magento_Paypal
24 Hours,24 ore,module,Magento_AdminNotification
24h,24ore,module,Magento_Catalog
2nd Day Air,A doua zi dimineata,module,Magento_Ups
2nd Day Air AM,A doua zi dimineata,module,Magento_Ups
2nd Day Air AM Letter,Scrisoare A doua zi dimineata,module,Magento_Ups
2nd Day Air Letter,Scrisoare A doua zi dimineata,module,Magento_Ups
2YTD,Ultimii 2 ani,module,Magento_Backend
3 columns,3 coloane,module,Magento_Theme
3 Day Freight,Transport 3 zile,module,Magento_Fedex
3 Day Select,Selectare 3 zile,module,Magento_Ups
3D Secure Verification,Verificare sigura 3D,module,Magento_Braintree
3D Secure Verification Settings,Setari de Vefiricare Sigure 3D,module,Magento_Braintree
6 Hours,6 ore,module,Magento_AdminNotification
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 implicit, daca nu este setat. Pentru a reîmprospata instant, stergeti cache-ul Output al blocurilor HTML.",module,Magento_Catalog
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 implicit, daca nu este setat. Pentru a reîmprospata instant, eliminati cache-ul Output al blocurilor HTML.",module,Magento_CatalogWidget
A block identifier with the same properties already exists in the selected store.,Un identificator bloc cu aceleasi proprietati exista deja în magazinul selectat.,module,Magento_Cms
A case that has been resolved and close requires a reimbursement.,Un caz care a fost rezolvat si închis necesita o despagubire.,module,Magento_Paypal
